K,epssqr,L,Theta0,Theta1,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1,5000,-0.169243,1.2152,11.9792,1,33, 0.928366, 0.0112062, 0.0940812, 0.0102332, 0.765464, 1, 2, 0.00089812278747558594, 0.00024104118347167969, 5.7697296142578125e-05, 6.9379806518554688e-05, 4.3630599975585938e-05, 2.1457672119140625e-06, 5.626678466796875e-05, 0.00042796134948730469, -0.16924326289244446, -0.16924326289244446, 0, 65, 130, 0.0931175, 0.0197308, 0.0100889, 0.0065186, 0.00993228, 0.000395298, 0.0102196, 0.036232, 
1,6000,-0.169243,1.2152,11.9792,1,34, 0.952279, 0.0113368, 0.0958519, 0.0104966, 0.786386, 1, 2, 0.00087857246398925781, 0.00024104118347167969, 5.4597854614257812e-05, 6.9379806518554688e-05, 5.0783157348632812e-05, 2.384185791015625e-06, 9.5844268798828125e-05, 0.00036454200744628906, -0.16924326289244446, -0.16924326289244446, 0, 67, 134, 0.0948589, 0.0202682, 0.010334, 0.00665426, 0.0101824, 0.000406742, 0.0105255, 0.0364878, 
1,7000,-0.169243,1.2152,11.9792,1,35, 0.98965, 0.0115662, 0.100873, 0.0108001, 0.817381, 1, 2, 0.0041270256042480469, 0.00024175643920898438, 5.53131103515625e-05, 6.3657760620117188e-05, 4.9352645874023438e-05, 3.814697265625e-06, 5.9843063354492188e-05, 0.0036532878875732422, -0.16924326289244446, -0.16924326289244446, 0, 69, 138, 0.0998538, 0.020807, 0.0105901, 0.00680518, 0.0104225, 0.000419617, 0.010812, 0.0399973, 
1,8000,-0.169243,1.2152,11.9792,1,36, 1.01379, 0.0116501, 0.10263, 0.0112267, 0.838284, 1, 2, 0.00083446502685546875, 0.00024104118347167969, 5.3882598876953125e-05, 6.389617919921875e-05, 6.9856643676757812e-05, 2.1457672119140625e-06, 6.008148193359375e-05, 0.00034356117248535156, -0.16924326289244446, -0.16924326289244446, 0, 71, 142, 0.101588, 0.0213358, 0.0108542, 0.00693345, 0.0106838, 0.000432491, 0.0110846, 0.0402637, 
1,9000,-0.169243,1.2152,11.9792,1,37, 1.0384, 0.0117252, 0.104254, 0.0116024, 0.86008, 1, 2, 0.00079345703125, 0.00024104118347167969, 5.4121017456054688e-05, 6.2465667724609375e-05, 4.5537948608398438e-05, 2.1457672119140625e-06, 5.626678466796875e-05, 0.000331878662109375, -0.16924326289244446, -0.16924326289244446, 0, 73, 146, 0.10319, 0.0218651, 0.0110843, 0.00705886, 0.0109122, 0.000444174, 0.0113227, 0.0405025, 
1,10000,-0.169243,1.2152,11.9792,1,38, 1.0655, 0.0119247, 0.106691, 0.0124063, 0.882779, 1, 2, 0.0011601448059082031, 0.00031828880310058594, 5.7697296142578125e-05, 6.6041946411132812e-05, 4.482269287109375e-05, 2.86102294921875e-06, 0.00019145011901855469, 0.00047898292541503906, -0.16924326289244446, -0.16924326289244446, 0, 75, 150, 0.105595, 0.0225217, 0.0113704, 0.00724268, 0.0113783, 0.000458717, 0.0117993, 0.0408242, 
1,20000,-0.169243,1.2152,11.9792,1,39, 1.10356, 0.012064, 0.110833, 0.0126722, 0.915419, 1, 2, 0.0018010139465332031, 0.00052142143249511719, 0.00026249885559082031, 0.00038170814514160156, 4.6491622924804688e-05, 2.384185791015625e-06, 5.7220458984375e-05, 0.00052928924560546875, -0.16924326289244446, -0.16924326289244446, 0, 77, 154, 0.10971, 0.0233424, 0.0118315, 0.00769091, 0.0116918, 0.000470161, 0.0120466, 0.0426371, 
1,30000,-0.169243,1.2152,11.9792,1,40, 1.13001, 0.01215, 0.113231, 0.0129917, 0.937366, 1, 2, 0.00095725059509277344, 0.00024461746215820312, 5.6505203247070312e-05, 6.389617919921875e-05, 4.5061111450195312e-05, 2.1457672119140625e-06, 5.5074691772460938e-05, 0.00048995018005371094, -0.16924326289244446, -0.16924326289244446, 0, 79, 158, 0.112084, 0.0240149, 0.0121028, 0.00789118, 0.0122082, 0.000483513, 0.0123377, 0.0430453, 
1,40000,-0.169243,1.2152,11.9792,1,41, 1.15429, 0.0122206, 0.115045, 0.0132453, 0.95877, 1, 2, 0.00082492828369140625, 0.00024104118347167969, 5.3644180297851562e-05, 6.4611434936523438e-05, 6.4373016357421875e-05, 2.384185791015625e-06, 5.5789947509765625e-05, 0.00034308433532714844, -0.16924326289244446, -0.16924326289244446, 0, 81, 162, 0.113875, 0.0246835, 0.0123339, 0.0080266, 0.0124552, 0.000496387, 0.0125854, 0.0432944, 
1,50000,-0.169243,1.2152,11.9792,1,42, 1.19606, 0.0122952, 0.135454, 0.0135338, 0.978923, 1, 2, 0.019462347030639648, 0.00024318695068359375, 8.3446502685546875e-05, 6.6518783569335938e-05, 7.1048736572265625e-05, 2.384185791015625e-06, 0.00010967254638671875, 0.018886089324951172, -0.16924326289244446, -0.16924326289244446, 0, 83, 166, 0.134263, 0.0252283, 0.0126865, 0.00815749, 0.012758, 0.000510693, 0.0129724, 0.0619493, 
1,60000,-0.169243,1.2152,11.9792,1,43, 1.22155, 0.0125492, 0.137804, 0.0138011, 0.999949, 1, 2, 0.0011775493621826172, 0.00024127960205078125, 5.53131103515625e-05, 6.961822509765625e-05, 5.14984130859375e-05, 2.4318695068359375e-05, 0.00036311149597167969, 0.00037240982055664062, -0.16924326289244446, -0.16924326289244446, 0, 85, 170, 0.136571, 0.0257661, 0.0129795, 0.00830936, 0.0130146, 0.000543356, 0.0135853, 0.0623724, 
1,70000,-0.169243,1.2152,11.9792,1,44, 1.24447, 0.012665, 0.13961, 0.0140615, 1.01987, 1, 2, 0.00088334083557128906, 0.00024080276489257812, 5.3882598876953125e-05, 7.6770782470703125e-05, 7.0095062255859375e-05, 2.1457672119140625e-06, 7.2240829467773438e-05, 0.00036740303039550781, -0.16924326289244446, -0.16924326289244446, 0, 87, 174, 0.138355, 0.0263004, 0.0132191, 0.00847721, 0.0132644, 0.000555992, 0.0138958, 0.0626426, 
1,80000,-0.169243,1.2152,11.9792,1,45, 1.26987, 0.0128241, 0.141319, 0.0143292, 1.04139, 1, 2, 0.00077986717224121094, 0.00024080276489257812, 5.3644180297851562e-05, 6.29425048828125e-05, 4.4584274291992188e-05, 2.1457672119140625e-06, 5.5789947509765625e-05, 0.00031995773315429688, -0.16924326289244446, -0.16924326289244446, 0, 89, 178, 0.140039, 0.0268376, 0.0134723, 0.00861025, 0.0134993, 0.000567913, 0.0141532, 0.0628982, 
1,90000,-0.169243,1.2152,11.9792,1,46, 1.31039, 0.013005, 0.149951, 0.0146012, 1.07169, 1, 2, 0.00078821182250976562, 0.00024175643920898438, 5.4121017456054688e-05, 6.1750411987304688e-05, 4.38690185546875e-05, 2.1457672119140625e-06, 5.4597854614257812e-05, 0.0003299713134765625, -0.16924326289244446, -0.16924326289244446, 0, 91, 182, 0.148641, 0.0276384, 0.0138538, 0.00879359, 0.0138278, 0.000580788, 0.0144303, 0.0695164, 
1,100000,-0.169243,1.2152,11.9792,1,47, 1.33629, 0.0130935, 0.151581, 0.0148928, 1.0947, 1, 2, 0.00079417228698730469, 0.00024127960205078125, 5.3882598876953125e-05, 6.4849853515625e-05, 4.3630599975585938e-05, 2.1457672119140625e-06, 5.53131103515625e-05, 0.00033307075500488281, -0.16924326289244446, -0.16924326289244446, 0, 93, 186, 0.15025, 0.0281703, 0.0140865, 0.00891757, 0.0140305, 0.000590563, 0.014668, 0.0697865, 
