K,epssqr,L,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
3,10000,-0.27967,1.18152,12.0979,4.32773,46.5203,0.713358,5.96814,2709,796, 941.445, 0.0524168, 913.239, 0.302974, 27.5852, 1000, 1001, 1.4761161804199219, 0.00030779838562011719, 0.0001087188720703125, 7.5578689575195312e-05, 7.05718994140625e-05, 2.384185791015625e-06, 7.2240829467773438e-05, 1.4754788875579834, -0.2796700855808128, -0.31139942109881563, 0.031729335517998017, 731178, 732008, 913.216, 252.354, 84.1963, 141.432, 295.874, 6.14417, 92.5431, 40.6726, 
3,20000,-0.245855,0.782907,6.71628,2.35968,25.7568,0.876141,7.94035,2662,840, 988.829, 0.0549533, 959.126, 0.330477, 29.0459, 6, 7, 0.0051665306091308594, 0.00030446052551269531, 0.00010561943054199219, 7.2240829467773438e-05, 5.1259994506835938e-05, 2.384185791015625e-06, 7.0810317993164062e-05, 0.0045597553253173828, -0.24585508419798868, -0.26894204718587589, 0.023086962987883673, 767689, 768564, 959.103, 265.556, 88.5929, 149.181, 309.167, 6.47941, 97.317, 42.8093, 
3,30000,-0.221662,1.19044,11.63,2.12382,23.0173,0.721991,5.98931,3000,876, 1024.42, 0.0568781, 993.522, 0.355242, 30.2077, 6, 7, 0.0048327445983886719, 0.00028514862060546875, 0.00010442733764648438, 6.9141387939453125e-05, 4.9352645874023438e-05, 2.6226043701171875e-06, 7.0333480834960938e-05, 0.0042517185211181641, -0.22166183718909727, -0.23644024573387612, 0.01477840854477842, 795877, 796789, 993.498, 275.396, 92.075, 154.634, 319.611, 6.70113, 100.783, 44.2966, 
3,40000,-0.196283,1.04956,9.95499,2.14424,23.2372,1.02692,9.71892,3000,976, 1042.95, 0.0729501, 1009.11, 0.402936, 33.0719, 16, 17, 0.024048089981079102, 0.00030851364135742188, 0.00020360946655273438, 7.3671340942382812e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.7472457885742188e-05, 0.023344039916992188, -0.196283060588261, -0.20369499105193878, 0.0074119304636791322, 808139, 809151, 1009.08, 279.761, 93.5824, 157.072, 324.252, 6.83119, 102.452, 45.1291, 
3,50000,-0.172068,1.21473,11.9731,1.41852,14.3676,1.03586,9.87131,3000,980, 1043.9, 0.0732014, 1009.89, 0.404787, 33.2368, 11, 12, 0.023435831069946289, 0.00029969215393066406, 0.00010061264038085938, 9.34600830078125e-05, 4.8398971557617188e-05, 2.6226043701171875e-06, 6.8187713623046875e-05, 0.022822856903076172, -0.17206815064166342, -0.17509439521130107, 0.0030262445696378139, 808744, 809761, 1009.86, 279.957, 93.6488, 157.18, 324.496, 6.83466, 102.565, 45.1813, 
3,60000,-0.168669,1.21968,12.0266,1.21749,12.066,1.20907,11.8678,3000,982, 1044.16, 0.0733736, 1010.04, 0.405909, 33.3374, 11, 12, 0.019152641296386719, 0.00029277801513671875, 0.00010156631469726562, 8.5592269897460938e-05, 4.6968460083007812e-05, 2.384185791015625e-06, 6.8187713623046875e-05, 0.018555164337158203, -0.16866892425215246, -0.16925660596110481, 0.00058768170895244953, 808851, 809871, 1010.02, 279.993, 93.6613, 157.189, 324.556, 6.83532, 102.575, 45.2062, 
3,70000,-0.169112,1.20141,11.8341,1.21627,11.9849,1.22827,12.1221,3000,984, 1044.35, 0.0735223, 1010.13, 0.407119, 33.4369, 5, 6, 0.0040571689605712891, 0.00029897689819335938, 0.00010037422180175781, 6.8187713623046875e-05, 8.106231689453125e-05, 2.384185791015625e-06, 7.343292236328125e-05, 0.0034327507019042969, -0.16911156449754697, -0.16926746162984624, 0.00015589713229915113, 808909, 809932, 1010.1, 280.013, 93.6685, 157.21, 324.571, 6.83563, 102.58, 45.225, 
3,80000,-0.169211,1.21177,11.94,1.21982,12.0288,1.21399,11.9686,3000,985, 1044.48, 0.0736399, 1010.17, 0.408, 33.5138, 5, 6, 0.015921115875244141, 0.00029277801513671875, 0.00018811225891113281, 7.8916549682617188e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.7949295043945312e-05, 0.015242576599121094, -0.16921132242392309, -0.16924567169137741, 3.4349267454334049e-05, 808947, 809972, 1010.14, 280.027, 93.6731, 157.212, 324.587, 6.83581, 102.583, 45.2266, 
3,90000,-0.169241,1.21641,11.9934,1.2151,11.9782,1.21409,11.9659,3000,986, 1044.59, 0.0737786, 1010.19, 0.408705, 33.5936, 5, 6, 0.01092529296875, 0.00030350685119628906, 0.00010085105895996094, 6.961822509765625e-05, 4.9114227294921875e-05, 2.1457672119140625e-06, 6.9856643676757812e-05, 0.0103302001953125, -0.16924057943987478, -0.16924348456842175, 2.9051285468382331e-06, 808967, 809994, 1010.17, 280.034, 93.6754, 157.214, 324.59, 6.8359, 102.585, 45.2342, 
3,100000,-0.169243,1.21523,11.9797,1.21496,11.9761,1.21541,11.9818,2982,987, 1044.69, 0.0739377, 1010.21, 0.409539, 33.6737, 5, 6, 0.011752605438232422, 0.00036954879760742188, 0.00013566017150878906, 0.00011563301086425781, 8.392333984375e-05, 2.6226043701171875e-06, 7.7724456787109375e-05, 0.010967493057250977, -0.16924321162683548, -0.16924327251380386, 6.088696826026265e-08, 808982, 810011, 1010.19, 280.039, 93.678, 157.215, 324.592, 6.83602, 102.586, 45.241, 
