?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e0,2,60000,11.999,1,2,42, 30.4341, 0.00186706, 30.343, 0, 0, 6, 7, 0.10063886642456055, 0.013975381851196289, 0.00032091140747070312, 2.8133392333984375e-05, 3.62396240234375e-05, 3.0994415283203125e-06, 0.00036668777465820312, 0.085908412933349609, 1.7213230827010499, 0.41717434592120611, 1.3041487367798468, 2218, 2260, 30.3292, 26.6104, 1.06398, 0.118237, 1.80413, 0.0204256, 0.549936, 0.16209, 
1e0,2,70000,12.0476,1,2,43, 30.6256, 0.00194049, 30.5329, 0, 0, 11, 12, 0.18973612785339355, 0.011786460876464844, 0.00025224685668945312, 2.5987625122070312e-05, 3.1948089599609375e-05, 3.814697265625e-06, 0.00020599365234375, 0.1774296760559082, 1.8972179051341693, 0.41916100626562247, 1.4780568988685541, 2229, 2272, 30.519, 26.7876, 1.06845, 0.118776, 1.80785, 0.0205095, 0.552924, 0.162917, 
1e0,2,80000,12.082,1,2,44, 30.8357, 0.00198793, 30.7419, 0, 0, 11, 12, 0.20870375633239746, 0.012482643127441406, 0.00016474723815917969, 2.8371810913085938e-05, 3.4332275390625e-05, 4.0531158447265625e-06, 0.000202178955078125, 0.19578742980957031, 2.0754599614452136, 0.42055489441919258, 1.6549050670260095, 2240, 2284, 30.7277, 26.9407, 1.09059, 0.119446, 1.83679, 0.020582, 0.55561, 0.163918, 
1e0,2,90000,12.5751,1,2,45, 31.0133, 0.0020349, 30.9157, 0, 0, 12, 13, 0.1736607551574707, 0.012081146240234375, 0.00018310546875, 6.3180923461914062e-05, 3.62396240234375e-05, 4.291534423828125e-06, 0.00017762184143066406, 0.16111516952514648, 1.815175001999394, 0.44037766234311221, 1.374797339656296, 2252, 2297, 30.9014, 27.1033, 1.09354, 0.119831, 1.84083, 0.0206587, 0.558709, 0.164463, 
1e0,2,100000,12.609,1,2,46, 31.0902, 0.00208664, 30.9909, 0, 0, 5, 6, 0.07500147819519043, 0.010962247848510742, 0.00018239021301269531, 2.1457672119140625e-05, 2.5272369384765625e-05, 4.0531158447265625e-06, 0.00023484230041503906, 0.06357121467590332, 1.9346136655492738, 0.4417672880693615, 1.492846377479891, 2257, 2303, 30.9764, 27.1738, 1.09513, 0.120062, 1.84195, 0.020695, 0.560007, 0.164744, 
1e0,2,200000,12.6198,1,2,47, 31.1642, 0.00213242, 31.0637, 0, 0, 4, 5, 0.072644948959350586, 0.0097765922546386719, 0.00041913986206054688, 3.2901763916015625e-05, 2.765655517578125e-05, 4.0531158447265625e-06, 0.00019860267639160156, 0.062186002731323242, 3.4060783307131861, 0.44220346369172697, 2.9638748670214765, 2261, 2308, 31.049, 27.2408, 1.09627, 0.120175, 1.84465, 0.0207222, 0.561104, 0.165246, 
1e0,2,300000,12.6437,1,2,48, 31.2696, 0.0022316, 31.1674, 0, 0, 6, 7, 0.099663972854614258, 0.0083675384521484375, 0.00032353401184082031, 2.5272369384765625e-05, 4.4584274291992188e-05, 4.291534423828125e-06, 0.00040674209594726562, 0.090492010116577148, 4.8169556931334157, 0.44319021182915241, 4.3737654813042317, 2267, 2315, 31.1487, 27.333, 1.0983, 0.120364, 1.84767, 0.0207639, 0.562935, 0.165662, 
1e0,2,400000,12.6705,1,2,49, 31.3618, 0.00228095, 31.2579, 0, 0, 5, 6, 0.09022974967956543, 0.0065674781799316406, 0.00030350685119628906, 6.103515625e-05, 8.7022781372070312e-05, 3.0994415283203125e-06, 0.00030112266540527344, 0.082906484603881836, 6.1742647986480446, 0.44430167384694319, 5.7299631248010847, 2272, 2321, 31.2389, 27.3924, 1.11091, 0.120566, 1.86358, 0.0207984, 0.564182, 0.16644, 
1e0,2,500000,12.6814,1,2,50, 31.4514, 0.00234199, 31.3461, 0, 0, 6, 7, 0.087982892990112305, 0.012991666793823242, 0.00027990341186523438, 2.5272369384765625e-05, 2.4318695068359375e-05, 2.86102294921875e-06, 0.00019574165344238281, 0.074463129043579102, 7.5471823735967059, 0.44476280188079609, 7.102419571715993, 2278, 2328, 31.3269, 27.4711, 1.11284, 0.1208, 1.86857, 0.0208416, 0.565925, 0.166809, 
1e0,2,600000,12.7287,1,2,51, 31.6081, 0.00239658, 31.5018, 0, 0, 11, 12, 0.1552889347076416, 0.0127716064453125, 0.00016283988952636719, 2.09808349609375e-05, 2.4080276489257812e-05, 3.814697265625e-06, 0.00016522407531738281, 0.14214038848876953, 8.6950032299773916, 0.44670061271951866, 8.248302617257762, 2289, 2340, 31.4822, 27.6176, 1.11547, 0.121071, 1.87109, 0.0209417, 0.568602, 0.167408, 
1e0,2,700000,12.8532,1,2,52, 31.8035, 0.00244594, 31.6961, 0, 0, 12, 13, 0.19413352012634277, 0.014961719512939453, 0.00018978118896484375, 0.0001354217529296875, 4.1961669921875e-05, 2.86102294921875e-06, 0.00019931793212890625, 0.17860245704650879, 9.269671218502797, 0.45182706773835712, 8.8178441507645537, 2301, 2353, 31.6763, 27.7886, 1.12583, 0.121513, 1.87988, 0.0210254, 0.571276, 0.168153, 
1e0,2,800000,12.8596,1,2,53, 31.8932, 0.00249362, 31.7848, 0, 0, 6, 7, 0.088422060012817383, 0.0094571113586425781, 0.00019121170043945312, 2.0265579223632812e-05, 2.4557113647460938e-05, 2.6226043701171875e-06, 0.00015974044799804688, 0.078566551208496094, 10.478291234520082, 0.45209002857797598, 10.026201205942121, 2307, 2360, 31.7647, 27.869, 1.1286, 0.121672, 1.88305, 0.0210605, 0.572813, 0.168509, 
1e0,2,900000,12.8898,1,2,54, 31.9907, 0.0025444, 31.8812, 0, 0, 5, 6, 0.096203804016113281, 0.0094063282012939453, 0.00026488304138183594, 2.288818359375e-05, 5.53131103515625e-05, 2.384185791015625e-06, 0.00024271011352539062, 0.086209297180175781, 11.490611163520615, 0.45332963252459529, 11.037281530995994, 2312, 2366, 31.8609, 27.9553, 1.1302, 0.12179, 1.88936, 0.0212669, 0.574249, 0.168799, 
1e0,2,1e+06,12.8968,1,2,55, 32.1049, 0.00259566, 31.994, 0, 0, 6, 7, 0.11262369155883789, 0.011741161346435547, 0.00028085708618164062, 3.2901763916015625e-05, 3.0040740966796875e-05, 3.814697265625e-06, 0.00017714500427246094, 0.1003577709197998, 12.650429148841392, 0.4536226232814996, 12.196806525559913, 2318, 2373, 31.9735, 28.0593, 1.13499, 0.122111, 1.8909, 0.0213039, 0.575806, 0.169161, 
