?spgqp_err,K,epssqr,abserr,energy,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,4000,402662,1.53953e+06,1,2,31, 1238.05, 0.0176606, 679.505, 0, 0, 1, 2, 0.010949850082397461, 0.0029499530792236328, 0.0017921924591064453, 0.00024700164794921875, 0.00018715858459472656, 0, 0.0010068416595458984, 0.0047667026519775391, 10.036774254218848, 10.000083452085553, 0.03669080213329514, 46010, 46041, 341.704, 144.292, 98.6575, 12.1879, 36.3037, 0.0213058, 50.0495, 0.192358, 
1e-6,2,5000,420179,5.68614e+06,1,2,32, 1309.13, 0.0181446, 731.284, 0, 0, 5893, 5894, 43.177438020706177, 0.0029900074005126953, 0.0025179386138916016, 0.00035214424133300781, 0.0001850128173828125, 0, 0.0017099380493164062, 43.16968297958374, 10.042582896499821, 10.010511880348208, 0.032071016151612883, 51903, 51935, 384.881, 161.938, 111.402, 13.7508, 40.9758, 0.0238044, 56.584, 0.206525, 
1e-6,2,6000,420178,1.41048e+06,1,2,33, 1336.27, 0.0186596, 736.933, 0, 0, 1, 2, 0.01126408576965332, 0.0029458999633789062, 0.0022730827331542969, 0.00028491020202636719, 0.00018405914306640625, 0, 0.0014109611511230469, 0.0041651725769042969, 10.048996983810024, 10.010512464966343, 0.038484518843681717, 51904, 51937, 384.893, 161.942, 111.407, 13.751, 40.9765, 0.0238044, 56.5861, 0.206722, 
1e-6,2,7000,420178,1.41779e+06,1,2,34, 1362.46, 0.0192416, 747.471, 0, 0, 1, 2, 0.010832071304321289, 0.0029489994049072266, 0.0021729469299316406, 0.00025415420532226562, 0.0001850128173828125, 0, 0.00090813636779785156, 0.0043628215789794922, 10.055410605277299, 10.010513647855698, 0.044896957421600464, 51905, 51939, 384.903, 161.946, 111.411, 13.7513, 40.9774, 0.0238044, 56.5879, 0.206896, 
1e-6,2,8000,463693,6.14229e+06,1,2,35, 1436.4, 0.0197198, 808.333, 0, 0, 6582, 6583, 48.75531792640686, 0.0029921531677246094, 0.0044159889221191406, 0.00036501884460449219, 0.0001850128173828125, 0, 0.0060548782348632812, 48.741304874420166, 10.058863453995862, 10.02019691695117, 0.038666537044692986, 58487, 58522, 433.659, 182.121, 125.747, 15.4851, 46.226, 0.0267341, 63.8296, 0.222926, 
1e-6,2,9000,463693,1.35659e+06,1,2,36, 1462.55, 0.0201979, 819.809, 0, 0, 1, 2, 0.010621070861816406, 0.0030019283294677734, 0.0022630691528320312, 0.0002288818359375, 0.0001850128173828125, 0, 0.00091695785522460938, 0.0040252208709716797, 10.063696725012061, 10.020197287968408, 0.04349943704365504, 58488, 58524, 433.669, 182.125, 125.752, 15.4853, 46.2267, 0.0267341, 63.8312, 0.223118, 
1e-6,2,10000,463693,1.41778e+06,1,2,37, 1490.2, 0.020685, 828.109, 0, 0, 1, 2, 0.010885953903198242, 0.002925872802734375, 0.002017974853515625, 0.00023698806762695312, 0.0001850128173828125, 0, 0.00094509124755859375, 0.0045750141143798828, 10.06852981206395, 10.020198033988239, 0.048331778075711575, 58489, 58526, 433.68, 182.128, 125.756, 15.4855, 46.2274, 0.0267341, 63.8327, 0.223524, 
1e-6,2,20000,614139,8.89088e+06,1,2,38, 1595.39, 0.021167, 914.289, 0, 0, 9671, 9672, 71.911191940307617, 0.0029790401458740234, 0.0022199153900146484, 0.00027298927307128906, 0.000186920166015625, 9.5367431640625e-07, 0.0009670257568359375, 71.904565095901489, 10.102171944149237, 10.041681127414689, 0.060490816734548841, 68160, 68198, 505.592, 211.625, 146.993, 18.0634, 54.0666, 0.0314376, 74.564, 0.247621, 
1e-6,2,30000,712613,8.00206e+06,1,2,39, 1691.48, 0.0216539, 988.844, 0, 0, 8235, 8236, 64.037727832794189, 0.0029020309448242188, 0.0018861293792724609, 0.00022792816162109375, 0.0001850128173828125, 9.5367431640625e-07, 0.00088596343994140625, 64.031639814376831, 10.128177040820937, 10.053161584597241, 0.075015456223692212, 76395, 76434, 569.629, 237.34, 166.283, 20.4081, 61.1694, 0.0349336, 84.1262, 0.267876, 
1e-6,2,40000,712614,1.61766e+06,1,2,40, 1722.41, 0.022135, 997.885, 0, 0, 1, 2, 0.011411190032958984, 0.0029458999633789062, 0.0022490024566650391, 0.00023412704467773438, 0.00018405914306640625, 0, 0.00096487998962402344, 0.004833221435546875, 10.153181834055092, 10.053162676828508, 0.100019157226583, 76396, 76436, 569.641, 237.344, 166.287, 20.4084, 61.1701, 0.0349336, 84.1282, 0.268118, 
1e-6,2,50000,861182,9.93952e+06,1,2,41, 1839.92, 0.0226181, 1097.77, 0, 0, 10583, 10584, 83.710500001907349, 0.0029251575469970703, 0.0018138885498046875, 0.00025177001953125, 0.00019502639770507812, 0, 0.00089001655578613281, 83.704424142837524, 10.169624762666183, 10.06975005988442, 0.099874702781762276, 86979, 87020, 653.351, 269.228, 192.308, 23.5018, 70.8109, 0.0396874, 97.1697, 0.293398, 
1e-6,2,60000,861183,1.52467e+06,1,2,42, 1868.85, 0.0230982, 1110.72, 0, 0, 1, 2, 0.016802072525024414, 0.0029089450836181641, 0.0035619735717773438, 0.00040912628173828125, 0.00018715858459472656, 0, 0.0017790794372558594, 0.0079557895660400391, 10.189599564521785, 10.069750745683823, 0.11984881883796181, 86980, 87022, 653.368, 269.232, 192.315, 23.5022, 70.8125, 0.0396883, 97.1732, 0.293692, 
1e-6,2,70000,976695,8.45305e+06,1,2,43, 1968.08, 0.0235903, 1188.93, 0, 0, 9032, 9033, 70.849631786346436, 0.0029189586639404297, 0.0017609596252441406, 0.00023102760314941406, 0.00018405914306640625, 0, 0.00095891952514648438, 70.843577861785889, 10.203564246751135, 10.082145488244178, 0.12141875850695694, 96012, 96055, 724.218, 296.617, 214.138, 26.0665, 78.9255, 0.0436461, 108.111, 0.315573, 
