n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
48,8,2,100,0.394014,1,2,831, 285.404, 0.156729, 284.165, 0, 0, 1000, 1001, 0.65749001502990723, 8.1777572631835938e-05, 9.6559524536132812e-05, 0.000102996826171875, 1.4543533325195312e-05, 0, 0.00021243095397949219, 0.6569817066192627, 271.24995750653949, 271.21313863189368, 0.036818874645610941, 430464, 431310, 283.203, 36.1827, 42.7505, 45.6101, 63.2362, 0.133379, 94.781, 0.50869, 
21,1,2,1e-14,0,1,2,837, 217.414, 0.157521, 216.132, 0, 0, 680, 681, 0.44840860366821289, 8.4161758422851562e-05, 9.72747802734375e-05, 0.00010728836059570312, 1.4066696166992188e-05, 0, 0.00021862983703613281, 0.44788718223571777, 0.38241431911205809, 0.38152672698370688, 0.00088759212829566531, 325516, 326369, 215.098, 27.3476, 32.065, 34.6115, 48.8564, 0.0971329, 71.6852, 0.435206, 
71,8,2,0.1,0.439153,1,2,708, 273.447, 0.135033, 272.251, 0, 0, 1000, 1001, 0.66058635711669922, 8.487701416015625e-05, 9.5367431640625e-05, 0.00010561943054199219, 1.430511474609375e-05, 0, 0.00021958351135253906, 0.66006660461425781, 274.07718833912691, 273.82798759663103, 0.24920074249583546, 410492, 411217, 271.285, 34.7551, 39.5224, 43.5396, 62.244, 0.129593, 90.6253, 0.469509, 
28,8,2,0.1,0.433369,1,2,676, 246.26, 0.129097, 245.156, 0, 0, 215, 216, 0.14089870452880859, 8.4400177001953125e-05, 9.7990036010742188e-05, 0.00010538101196289062, 1.430511474609375e-05, 0, 0.00021648406982421875, 0.1403801441192627, 272.31304257159934, 272.20468640579475, 0.10835616580465553, 374089, 374782, 244.019, 31.3793, 36.8135, 39.5602, 54.764, 0.114329, 80.9462, 0.441554, 
75,3,2,0.0005,0.0180095,1,2,780, 232.282, 0.145033, 230.904, 0, 0, 1000, 1001, 0.65479087829589844, 8.4400177001953125e-05, 9.7990036010742188e-05, 0.00010776519775390625, 1.4543533325195312e-05, 0, 0.00021576881408691406, 0.65427041053771973, 0.62489390251926813, 0.62337691523227579, 0.001516987286770047, 350943, 351739, 229.834, 29.5482, 34.6343, 37.4128, 51.4834, 0.10652, 76.2175, 0.43139, 
60,5,2,0.01,0.129946,1,2,772, 282.467, 0.147399, 281.309, 0, 0, 525, 526, 0.3476564884185791, 8.3684921264648438e-05, 9.8466873168945312e-05, 0.0001068115234375, 1.4543533325195312e-05, 0, 0.00021862983703613281, 0.34713435173034668, 4.664050210313011, 4.6627859329688635, 0.0012642773440027753, 423923, 424711, 280.346, 35.5693, 41.8427, 45.1006, 63.714, 0.130975, 93.4749, 0.51345, 
45,2,2,1e-14,0,1,2,838, 227.235, 0.159391, 226, 0, 0, 244, 245, 0.16068100929260254, 8.3208084106445312e-05, 9.5605850219726562e-05, 0.0001068115234375, 1.4066696166992188e-05, 0, 0.0002193450927734375, 0.16016197204589844, 0.43718532573094493, 0.43624793796155048, 0.00093738776934989957, 329480, 330335, 216.417, 27.4635, 31.449, 35.2044, 49.2698, 0.0990977, 72.4883, 0.442631, 
53,1,2,1e-14,0,1,2,761, 213.142, 0.143919, 211.978, 0, 0, 1000, 1001, 0.65482306480407715, 8.3208084106445312e-05, 9.441375732421875e-05, 0.00010561943054199219, 1.5020370483398438e-05, 2.384185791015625e-07, 0.00022411346435546875, 0.65430045127868652, 0.38480841708858882, 0.38401731947730511, 0.00079109761141700312, 321937, 322715, 211.066, 26.7786, 30.6463, 34.0611, 48.0828, 0.100403, 70.981, 0.415739, 
48,9,2,1,0.409629,1,2,598, 243.297, 0.11492, 242.387, 0, 0, 1000, 1001, 0.66131258010864258, 8.20159912109375e-05, 9.6559524536132812e-05, 0.00010275840759277344, 1.430511474609375e-05, 0, 0.00021529197692871094, 0.66080164909362793, 1107.6447136558918, 1107.3823591512405, 0.26235450465098598, 358219, 358835, 237.03, 30.2252, 35.2788, 37.9676, 53.9394, 0.113344, 79.096, 0.409777, 
4,7,2,0.1,0.368253,1,2,838, 292.527, 0.158028, 291.245, 0, 0, 1000, 1001, 0.66112995147705078, 8.5592269897460938e-05, 9.8466873168945312e-05, 0.00011110305786132812, 1.5020370483398438e-05, 0, 0.00022172927856445312, 0.6605980396270752, 69.20343924869124, 69.192340110459924, 0.011099138231113432, 438902, 439755, 290.247, 37.0789, 43.3041, 46.6703, 65.1495, 0.137642, 97.3902, 0.516227, 
54,4,2,0.005,0.0538646,1,2,894, 248.699, 0.169773, 247.374, 0, 0, 286, 287, 0.18791961669921875, 8.3446502685546875e-05, 9.5367431640625e-05, 0.00010538101196289062, 1.4543533325195312e-05, 0, 0.00021815299987792969, 0.18740272521972656, 1.4371119371581691, 1.4359842779042926, 0.0011276592538097966, 373313, 374222, 244.568, 31.1168, 35.6593, 39.4371, 55.8118, 0.111212, 81.94, 0.491869, 
66,1,2,1e-14,0,1,2,727, 212.619, 0.138662, 211.506, 0, 0, 43, 44, 0.028970479965209961, 8.4400177001953125e-05, 9.8705291748046875e-05, 0.00010609626770019531, 1.4066696166992188e-05, 0, 0.00021648406982421875, 0.028450727462768555, 0.38154621002367822, 0.38077451006216789, 0.00077169996154360563, 321493, 322237, 210.626, 26.9892, 31.8063, 34.1647, 47.2764, 0.100542, 69.8835, 0.405901, 
